"Origin Station Complex Name","Destination Station Complex Name","Origin Station Complex ID","Destination Station Complex ID","Origin Point","Destination Point","avg_estimated_average_ridership"
"81 St-Museum of Natural History (C,B)","Avenue M (Q)","159","50","POINT (-73.972143 40.781433)","POINT (-73.959399 40.617618)","0.4449"
"W 4 St-Wash Sq (A,C,E,B,D,F,M)","Prospect Park (B,Q,S)","167","42","POINT (-74.000495 40.732338)","POINT (-73.962246 40.661614)","1.30888"
"Flatbush Av-Brooklyn College (2,5)","Halsey St (L)","359","129","POINT (-73.947642 40.632836)","POINT (-73.904084 40.695602)","0.3167"
"St Lawrence Av (6)","Ocean Pkwy (Q)","367","56","POINT (-73.867618 40.831509)","POINT (-73.968501 40.576312)","0.3002"
"3 Av (L)","47-50 Sts-Rockefeller Ctr (B,D,F,M)","118","225","POINT (-73.986122 40.732849)","POINT (-73.981329 40.758663)","3.1164"
"Bergen St (2,3)","2 Av (F)","339","232","POINT (-73.975098 40.680829)","POINT (-73.989938 40.723402)","0.2935"
"Jamaica-Van Wyck (E)","Rector St (1)","280","329","POINT (-73.816859 40.702566)","POINT (-74.013783 40.707513)","0.2952"
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","3 Av-149 St (2,5)","624","434","POINT (-74.009552 40.712603)","POINT (-73.917757 40.816109)","1.301175"
"Astoria-Ditmars Blvd (N,W)","167 St (4)","1","388","POINT (-73.912034 40.775036)","POINT (-73.9214 40.835537)","0.42525"
"Intervale Av (2,5)","Zerega Av (6)","431","364","POINT (-73.896736 40.822181)","POINT (-73.847036 40.836488)","0.6412"
"Norwood-205 St (D)","23 St (F,M)","210","228","POINT (-73.878855 40.874811)","POINT (-73.992821 40.742878)","4.70404"
"103 St (C,B)","Wall St (4,5)","156","413","POINT (-73.961454 40.796092)","POINT (-74.011862 40.707557)","0.305125"
"Fordham Rd (4)","Queens Plaza (E,M,R)","382","273","POINT (-73.901034 40.862803)","POINT (-73.937243 40.748973)","2.338725"
"Bowling Green (4,5)","18 Av (D)","414","66","POINT (-74.014065 40.704817)","POINT (-74.001736 40.607954)","0.3865"
"Houston St (1)","34 St-Hudson Yards (7)","324","471","POINT (-74.005367 40.728251)","POINT (-74.00191 40.755882)","2.13725"
"Eastchester-Dyre Av (5)","Church Av (2,5)","442","356","POINT (-73.830834 40.8883)","POINT (-73.949575 40.650843)","1.3849"
"Norwood-205 St (D)","50 St (C,E)","210","162","POINT (-73.878855 40.874811)","POINT (-73.985984 40.762456)","4.6541"
"135 St (C,B)","Canal St (1)","152","325","POINT (-73.947649 40.817894)","POINT (-74.006277 40.722854)","0.40476666667"
"Brook Av (6)","Kingston-Throop Avs (C)","376","180","POINT (-73.91924 40.807566)","POINT (-73.940858 40.679921)","0.31215"
"5 Av/53 St (E,M)","40 St-Lowery St (7)","276","459","POINT (-73.975224 40.760167)","POINT (-73.924016 40.743781)","0.3203"
"80 St (A)","Wall St (4,5)","190","413","POINT (-73.858992 40.679371)","POINT (-74.011862 40.707557)","1.34525"
"3 Av-138 St (6)","231 St (1)","377","295","POINT (-73.926138 40.810476)","POINT (-73.904834 40.878856)","0.3058"
"Kings Hwy (B,Q)","Cortelyou Rd (Q)","51","46","POINT (-73.957734 40.60867)","POINT (-73.963891 40.640927)","4.40702"
"Kingston-Throop Avs (C)","36 St (M,R)","180","272","POINT (-73.940858 40.679921)","POINT (-73.928781 40.752039)","0.48916666667"
"75 St-Elderts Ln (J,Z)","Spring St (6)","85","409","POINT (-73.867139 40.691324)","POINT (-73.997141 40.722301)","0.39956666667"
"DeKalb Av (L)","E 143 St-St Mary's St (6)","127","374","POINT (-73.918425 40.703811)","POINT (-73.907657 40.808719)","0.8809"
"Fulton St (G)","DeKalb Av (B,Q,R)","292","26","POINT (-73.975375 40.687119)","POINT (-73.981824 40.690635)","0.40193333333"
"111 St (A)","Van Cortlandt Park-242 St (1)","194","293","POINT (-73.832163 40.684331)","POINT (-73.898583 40.889248)","0.5687"
"Myrtle Av (M,J,Z)","Rector St (R,W)","97","22","POINT (-73.935657 40.697207)","POINT (-74.013342 40.70722)","0.69633333333"
"Grand Central-42 St (S,4,5,6,7)","Winthrop St (2,5)","610","355","POINT (-73.977359 40.751992)","POINT (-73.9502 40.656652)","7.42566"
"Allerton Av (2,5)","23 St (1)","423","320","POINT (-73.867352 40.865462)","POINT (-73.995657 40.744081)","2.6945"
"Mets-Willets Point (7)","Rector St (R,W)","448","22","POINT (-73.845625 40.754622)","POINT (-74.013342 40.70722)","0.3265"
"Pelham Pkwy (2,5)","Marble Hill-225 St (1)","424","296","POINT (-73.867615 40.857192)","POINT (-73.909831 40.874561)","0.41833333333"
"167 St (B,D)","Eastchester-Dyre Av (5)","218","442","POINT (-73.91844 40.833771)","POINT (-73.830834 40.8883)","0.3178"
"167 St (4)","157 St (1)","388","303","POINT (-73.9214 40.835537)","POINT (-73.94489 40.834041)","0.8524"
"7 Av (E,B,D)","Bedford Av (L)","277","120","POINT (-73.981637 40.762862)","POINT (-73.956872 40.717304)","1.172075"
"174 St (2,5)","Astoria Blvd (N,W)","428","2","POINT (-73.887734 40.837288)","POINT (-73.917843 40.770258)","0.3309"
"Jamaica Center-Parsons/Archer (E,J,Z)","Hunts Point Av (6)","278","371","POINT (-73.801109 40.702147)","POINT (-73.890549 40.820948)","2.84504"
"Queens Plaza (E,M,R)","81 St-Museum of Natural History (C,B)","273","159","POINT (-73.937243 40.748973)","POINT (-73.972143 40.781433)","2.07145"
"103 St-Corona Plaza (7)","Lorimer St (L)/Metropolitan Av (G)","450","629","POINT (-73.8627 40.749865)","POINT (-73.950847 40.713428)","9.0164"
"Beach 44 St (A)","Spring St (C,E)","206","168","POINT (-73.776013 40.592943)","POINT (-74.003739 40.726227)","0.3293"
"Vernon Blvd-Jackson Av (7)","Broad St (J,Z)","464","107","POINT (-73.953581 40.742626)","POINT (-74.011056 40.706476)","0.47016666667"
"59 St-Columbus Circle (A,B,C,D,1)","Hewes St (M,J)","614","100","POINT (-73.981833 40.768272)","POINT (-73.953431 40.70687)","0.6048"
"Eastern Pkwy-Brooklyn Museum (2,3)","28 St (6)","341","404","POINT (-73.964375 40.671987)","POINT (-73.984264 40.74307)","1.67026666667"
"72 St (Q)","E 143 St-St Mary's St (6)","477","374","POINT (-73.958424 40.768799)","POINT (-73.907657 40.808719)","0.303"
"174 St (2,5)","23 St (R,W)","428","14","POINT (-73.887734 40.837288)","POINT (-73.989344 40.741303)","0.54626666667"
"161 St-Yankee Stadium (B,D,4)","Court Sq (E,G,M,7)","604","606","POINT (-73.925741 40.82795)","POINT (-73.945032 40.747141)","2.18586"
"Cathedral Pkwy (110 St) (1)","Crown Hts-Utica Av (3,4)","308","345","POINT (-73.966847 40.803967)","POINT (-73.932942 40.668897)","0.8694"
"Gun Hill Rd (2,5)","103 St (C,B)","421","156","POINT (-73.866256 40.87785)","POINT (-73.961454 40.796092)","0.33986666667"
"Jefferson St (L)","Broadway (G)","126","286","POINT (-73.922913 40.706607)","POINT (-73.950308 40.706092)","2.6432"
"168 St (A,C,1)","33 St-Rawson St (7)","605","460","POINT (-73.939847 40.840638)","POINT (-73.930997 40.744587)","2.52986"
"Cypress Hills (J)","Hewes St (M,J)","86","100","POINT (-73.87255 40.689941)","POINT (-73.953431 40.70687)","0.31276666667"
"103 St-Corona Plaza (7)","25 St (R)","450","31","POINT (-73.8627 40.749865)","POINT (-73.998091 40.660397)","0.54066666667"
"Astoria Blvd (N,W)","Bay Pkwy (F)","2","247","POINT (-73.917843 40.770258)","POINT (-73.975264 40.620769)","0.8355"
"Marble Hill-225 St (1)","5 Av/53 St (E,M)","296","276","POINT (-73.909831 40.874561)","POINT (-73.975224 40.760167)","0.4681"
"125 St (2,3)","155 St (B,D)","439","220","POINT (-73.945495 40.807754)","POINT (-73.938209 40.830135)","0.84315"
"Nereid Av (2,5)","145 St (A,C,B,D)","417","151","POINT (-73.854376 40.898379)","POINT (-73.944216 40.824783)","0.40155"
"125 St (A,C,B,D)","149 St-Grand Concourse (2,4,5)","153","603","POINT (-73.952343 40.811109)","POINT (-73.927034 40.818393)","1.63395"
"Grant Av (A)","Fort Hamilton Pkwy (D)","189","60","POINT (-73.86505 40.677044)","POINT (-73.994304 40.640914)","0.6155"
"Spring St (6)","Simpson St (2,5)","409","430","POINT (-73.997141 40.722301)","POINT (-73.893064 40.824073)","0.2775"
"Fort Hamilton Pkwy (D)","46 St-Bliss St (7)","60","458","POINT (-73.994304 40.640914)","POINT (-73.918435 40.743132)","0.8695"
"30 Av (N,W)","137 St-City College (1)","3","305","POINT (-73.921479 40.766779)","POINT (-73.953676 40.822008)","2.13814"
"Gun Hill Rd (5)","Franklin St (1)","444","326","POINT (-73.846384 40.869526)","POINT (-74.006886 40.719318)","0.87025"
"Clinton-Washington Avs (C)","Bay Ridge-95 St (R)","177","39","POINT (-73.965838 40.683263)","POINT (-74.030876 40.616622)","0.2765"
"Bedford-Nostrand Avs (G)","Prospect Park (B,Q,S)","289","42","POINT (-73.953522 40.689627)","POINT (-73.962246 40.661614)","0.29366666667"
"Bay Ridge Av (R)","Neptune Av (F)","36","253","POINT (-74.023377 40.634967)","POINT (-73.974574 40.581011)","0.4476"
"New Lots Av (3)","Allerton Av (2,5)","352","423","POINT (-73.884079 40.666235)","POINT (-73.867352 40.865462)","0.6073"
"Cleveland St (J)","Liberty Av (C)","89","185","POINT (-73.884639 40.679947)","POINT (-73.896548 40.674542)","0.75455"
"Ralph Av (C)","Bedford Park Blvd-Lehman College (4)","182","380","POINT (-73.920786 40.678822)","POINT (-73.890064 40.873412)","0.313"
"Morris Park (5)","14 St-Union Sq (L,N,Q,R,W,4,5,6)","446","602","POINT (-73.860495 40.854364)","POINT (-73.990416 40.735066)","10.3995"
"DeKalb Av (L)","Knickerbocker Av (M)","127","113","POINT (-73.918425 40.703811)","POINT (-73.919711 40.698664)","0.60236"
"Spring St (6)","170 St (4)","409","387","POINT (-73.997141 40.722301)","POINT (-73.917791 40.840075)","0.41542"
"Flushing Av (M,J)","Cypress Hills (J)","98","86","POINT (-73.941126 40.70026)","POINT (-73.87255 40.689941)","1.019125"
"86 St (R)","Christopher St-Sheridan Sq (1)","38","323","POINT (-74.028398 40.622687)","POINT (-74.002906 40.733422)","0.60165"
"East Broadway (F)","174-175 Sts (B,D)","234","216","POINT (-73.990173 40.713715)","POINT (-73.910136 40.8459)","1.29363333333"
"Chambers St (1,2,3)","138 St-Grand Concourse (4,5)","327","391","POINT (-74.009266 40.715478)","POINT (-73.929849 40.813224)","0.6"
"Central Av (M)","137 St-City College (1)","114","305","POINT (-73.927397 40.697857)","POINT (-73.953676 40.822008)","0.58975"
"Buhre Av (6)","Middle Village-Metropolitan Av (M)","361","108","POINT (-73.832569 40.84681)","POINT (-73.889601 40.711396)","0.3302"
"65 St (M,R)","168 St (A,C,1)","268","605","POINT (-73.898453 40.749669)","POINT (-73.939847 40.840638)","0.294"
"86 St (R)","Avenue U (Q)","38","52","POINT (-74.028398 40.622687)","POINT (-73.955929 40.5993)","1.18254"
"39 Av-Dutch Kills (N,W)","77 St (6)","6","398","POINT (-73.932755 40.752882)","POINT (-73.959874 40.77362)","3.35884"
"59 St (N,R)","Morris Park (5)","35","446","POINT (-74.017881 40.641362)","POINT (-73.860495 40.854364)","0.927"
"Kings Hwy (B,Q)","Kings Hwy (F)","51","250","POINT (-73.957734 40.60867)","POINT (-73.972361 40.603217)","1.14948"
"Hewes St (M,J)","Nostrand Av (A,C)","100","179","POINT (-73.953431 40.70687)","POINT (-73.950426 40.680438)","0.3108"
"103 St (1)","Grand Central-42 St (S,4,5,6,7)","309","610","POINT (-73.968379 40.799446)","POINT (-73.977359 40.751992)","26.5924"
"Cortelyou Rd (Q)","Avenue M (Q)","46","50","POINT (-73.963891 40.640927)","POINT (-73.959399 40.617618)","13.40688"
"36 Av (N,W)","63 Dr-Rego Park (M,R)","5","263","POINT (-73.929575 40.756804)","POINT (-73.861604 40.729846)","0.39416666667"
"York St (F)","Kings Hwy (B,Q)","235","51","POINT (-73.986751 40.701397)","POINT (-73.957734 40.60867)","0.59073333333"
"Kingsbridge Rd (4)","149 St-Grand Concourse (2,4,5)","381","603","POINT (-73.897174 40.86776)","POINT (-73.927034 40.818393)","22.91864"
"Avenue U (Q)","167 St (4)","52","388","POINT (-73.955929 40.5993)","POINT (-73.9214 40.835537)","0.3043"
"Jefferson St (L)","Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","126","622","POINT (-73.922913 40.706607)","POINT (-74.003766 40.713154)","2.8377"
"Junction Blvd (7)","Beverly Rd (2,5)","451","357","POINT (-73.869527 40.749145)","POINT (-73.948959 40.645098)","2.08925"
"High St (A,C)","86 St (N)","173","79","POINT (-73.990531 40.699337)","POINT (-73.97823 40.592721)","0.2817"
"82 St-Jackson Hts (7)","116 St (6)","453","393","POINT (-73.883697 40.747659)","POINT (-73.941617 40.798629)","2.35188"
"67 Av (M,R)","Rector St (R,W)","262","22","POINT (-73.852719 40.726523)","POINT (-74.013342 40.70722)","3.27278"
"20 Av (N)","5 Av/59 St (N,R,W)","75","8","POINT (-73.985026 40.61741)","POINT (-73.973347 40.764811)","2.01366"
"Fordham Rd (4)","Kings Hwy (B,Q)","382","51","POINT (-73.901034 40.862803)","POINT (-73.957734 40.60867)","0.3176"
"Wall St (4,5)","96 St (1,2,3)","413","310","POINT (-74.011862 40.707557)","POINT (-73.972323 40.793919)","0.29285"
"Nevins St (2,3,4,5)","59 St (N,R)","337","35","POINT (-73.980492 40.688246)","POINT (-74.017881 40.641362)","0.93865"
"121 St (J,Z)","Chauncey St (J,Z)","80","93","POINT (-73.828294 40.700492)","POINT (-73.910456 40.682893)","1.03373333333"
"Canarsie-Rockaway Pkwy (L)","Avenue X (F)","138","252","POINT (-73.90185 40.646654)","POINT (-73.97425 40.58962)","0.3186"
"Kings Hwy (N)","Myrtle-Willoughby Avs (G)","77","288","POINT (-73.980353 40.603923)","POINT (-73.949046 40.694568)","0.52935"
"Bronx Park East (2,5)","Central Park North (110 St) (2,3)","425","441","POINT (-73.868457 40.848828)","POINT (-73.951822 40.799075)","0.82028"
"Sutphin Blvd (F)","Grand Central-42 St (S,4,5,6,7)","257","610","POINT (-73.810708 40.70546)","POINT (-73.977359 40.751992)","3.25968"
"Fordham Rd (4)","33 St (6)","382","403","POINT (-73.901034 40.862803)","POINT (-73.982076 40.746081)","6.37076"
"Canal St (J,N,Q,R,W,Z,6)","Bay Pkwy (D)","623","68","POINT (-74.00058 40.718701)","POINT (-73.993728 40.601875)","1.44316666667"
"Avenue N (F)","Avenue P (F)","248","249","POINT (-73.974197 40.61514)","POINT (-73.973022 40.608944)","0.57965"
"East 105 St (L)","Pennsylvania Av (3)","137","350","POINT (-73.899485 40.650573)","POINT (-73.894895 40.664635)","0.80863333333"
"155 St (B,D)","E 149 St (6)","220","373","POINT (-73.938209 40.830135)","POINT (-73.904098 40.812118)","0.3268"
"174-175 Sts (B,D)","23 St (F,M)","216","228","POINT (-73.910136 40.8459)","POINT (-73.992821 40.742878)","2.709925"
"Coney Island-Stillwell Av (D,F,N,Q)","33 St (6)","58","403","POINT (-73.981233 40.577422)","POINT (-73.982076 40.746081)","2.34588"
"36 St (M,R)","Sutphin Blvd (F)","272","257","POINT (-73.928781 40.752039)","POINT (-73.810708 40.70546)","0.54905"
"Beach 105 St (A,S)","Beach 36 St (A)","202","207","POINT (-73.827559 40.583209)","POINT (-73.768175 40.595398)","0.25"
"Flushing Av (G)","5 Av/53 St (E,M)","287","276","POINT (-73.950234 40.700377)","POINT (-73.975224 40.760167)","1.69905"
"Tremont Av (B,D)","170 St (4)","215","387","POINT (-73.905227 40.85041)","POINT (-73.917791 40.840075)","1.7696"
"Halsey St (L)","Utica Av (A,C)","129","181","POINT (-73.904084 40.695602)","POINT (-73.930729 40.679364)","1.07024"
"Cortelyou Rd (Q)","9 Av (D)","46","59","POINT (-73.963891 40.640927)","POINT (-73.994324 40.646292)","0.30225"
"86 St (N)","W 8 St-NY Aquarium (F,Q)","79","57","POINT (-73.97823 40.592721)","POINT (-73.975939 40.576127)","0.61925"
"Park Pl (S)","Ocean Pkwy (Q)","141","56","POINT (-73.957624 40.674772)","POINT (-73.968501 40.576312)","0.361"
"103 St (C,B)","79 St (1)","156","312","POINT (-73.961454 40.796092)","POINT (-73.979917 40.783934)","1.24594"
"4 Av (F,G)/9 St (R)","Bedford-Nostrand Avs (G)","608","289","POINT (-73.989041 40.670559)","POINT (-73.953522 40.689627)","1.021125"
"207 St (1)","Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","298","279","POINT (-73.918822 40.864621)","POINT (-73.807969 40.700486)","0.42133333333"
"Woodlawn (4)","77 St (6)","378","398","POINT (-73.878751 40.886037)","POINT (-73.959874 40.77362)","12.15414"
"Halsey St (J)","Bay Pkwy (F)","94","247","POINT (-73.916559 40.68637)","POINT (-73.975264 40.620769)","0.308"
"77 St (6)","Steinway St (M,R)","398","271","POINT (-73.959874 40.77362)","POINT (-73.92074 40.756879)","1.69574"
"3 Av-149 St (2,5)","155 St (B,D)","434","220","POINT (-73.917757 40.816109)","POINT (-73.938209 40.830135)","0.447625"
"116 St (C,B)","Van Siclen Av (C)","154","186","POINT (-73.954882 40.805085)","POINT (-73.890358 40.67271)","0.2915"
"36 St (D,N,R)","Church Av (F,G)","32","243","POINT (-74.003549 40.655144)","POINT (-73.979678 40.644041)","0.90704"
"Baychester Av (5)","57 St-7 Av (N,Q,R,W)","443","9","POINT (-73.838591 40.878663)","POINT (-73.980658 40.764664)","4.1054"
"3 Av-138 St (6)","Beverly Rd (2,5)","377","357","POINT (-73.926138 40.810476)","POINT (-73.948959 40.645098)","0.6472"
"Central Park North (110 St) (2,3)","Roosevelt Island (F)","441","222","POINT (-73.951822 40.799075)","POINT (-73.95326 40.759145)","0.59275"
"30 Av (N,W)","Buhre Av (6)","3","361","POINT (-73.921479 40.766779)","POINT (-73.832569 40.84681)","0.28075"
"18 Av (D)","Grand Av-Newtown (M,R)","66","265","POINT (-74.001736 40.607954)","POINT (-73.877223 40.737015)","0.60175"
"9 Av (D)","Grand St (L)","59","123","POINT (-73.994324 40.646292)","POINT (-73.94067 40.711926)","1.19756666667"
"225 St (2,5)","Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","419","624","POINT (-73.860341 40.888022)","POINT (-74.009552 40.712603)","1.21495"
"Jamaica-179 St (F)","Nevins St (2,3,4,5)","254","337","POINT (-73.783817 40.712646)","POINT (-73.980492 40.688246)","0.30426666667"
"Canal St (A,C,E)","23 St (F,M)","169","228","POINT (-74.005229 40.720824)","POINT (-73.992821 40.742878)","1.37598"
"Prospect Park (B,Q,S)","28 St (6)","42","404","POINT (-73.962246 40.661614)","POINT (-73.984264 40.74307)","1.99316"
"Clinton-Washington Avs (C)","3 Av (L)","177","118","POINT (-73.965838 40.683263)","POINT (-73.986122 40.732849)","0.70425"
"Beverley Rd (Q)","Whitlock Av (6)","45","370","POINT (-73.964492 40.644031)","POINT (-73.886283 40.826525)","0.2932"
"East 105 St (L)","Halsey St (J)","137","94","POINT (-73.899485 40.650573)","POINT (-73.916559 40.68637)","0.77585"
"Jamaica Center-Parsons/Archer (E,J,Z)","135 St (2,3)","278","438","POINT (-73.801109 40.702147)","POINT (-73.94077 40.814229)","3.21194"
"23 St (6)","7 Av (B,Q)","405","41","POINT (-73.986599 40.739864)","POINT (-73.972367 40.67705)","0.6597"
"72 St (Q)","21 St-Queensbridge (F)","477","221","POINT (-73.958424 40.768799)","POINT (-73.942836 40.754203)","2.3298"
"E 143 St-St Mary's St (6)","104 St (A)","374","193","POINT (-73.907657 40.808719)","POINT (-73.837683 40.681711)","0.2948"
"207 St (1)","181 St (A)","298","146","POINT (-73.918822 40.864621)","POINT (-73.937969 40.851695)","2.132625"
"President St-Medgar Evers College (2,5)","Jay St-MetroTech (A,C,F,R)","353","636","POINT (-73.950683 40.667883)","POINT (-73.986642 40.692259)","2.506525"
"175 St (A)","Fort Hamilton Pkwy (N)","147","72","POINT (-73.939704 40.847391)","POINT (-74.005351 40.631386)","0.3103"
"Myrtle Av (M,J,Z)","63 Dr-Rego Park (M,R)","97","263","POINT (-73.935657 40.697207)","POINT (-73.861604 40.729846)","0.49576666667"
"Roosevelt Island (F)","Beverly Rd (2,5)","222","357","POINT (-73.95326 40.759145)","POINT (-73.948959 40.645098)","0.2905"
"86 St (4,5,6)","145 St (1)","397","304","POINT (-73.955589 40.779492)","POINT (-73.95036 40.826551)","0.2988"
"61 St-Woodside (7)","Pelham Pkwy (5)","456","445","POINT (-73.902984 40.74563)","POINT (-73.855359 40.858985)","0.3065"
"Fresh Pond Rd (M)","Rector St (1)","109","329","POINT (-73.895877 40.706186)","POINT (-74.013783 40.707513)","0.58925"
"Junius St (3)","York St (F)","349","235","POINT (-73.902447 40.663515)","POINT (-73.986751 40.701397)","0.598825"
"138 St-Grand Concourse (4,5)","86 St (C,B)","391","158","POINT (-73.929849 40.813224)","POINT (-73.968916 40.785868)","0.62585"
"59 St-Columbus Circle (A,B,C,D,1)","Vernon Blvd-Jackson Av (7)","614","464","POINT (-73.981833 40.768272)","POINT (-73.953581 40.742626)","2.95314"
"Crown Hts-Utica Av (3,4)","Carroll St (F,G)","345","237","POINT (-73.932942 40.668897)","POINT (-73.995048 40.680303)","1.53934"
"Cortelyou Rd (Q)","77 St (R)","46","37","POINT (-73.963891 40.640927)","POINT (-74.02551 40.629742)","1.284575"
"E 149 St (6)","174-175 Sts (B,D)","373","216","POINT (-73.904098 40.812118)","POINT (-73.910136 40.8459)","0.3007"
"75 St-Elderts Ln (J,Z)","28 St (R,W)","85","13","POINT (-73.867139 40.691324)","POINT (-73.988691 40.745494)","0.9008"
"25 St (R)","110 St (6)","31","394","POINT (-73.998091 40.660397)","POINT (-73.94425 40.79502)","0.29826666667"
"Norwood-205 St (D)","Rockaway Av (C)","210","183","POINT (-73.878855 40.874811)","POINT (-73.911946 40.67834)","0.573"
"Marble Hill-225 St (1)","174-175 Sts (B,D)","296","216","POINT (-73.909831 40.874561)","POINT (-73.910136 40.8459)","0.3002"
"Bergen St (2,3)","York St (F)","339","235","POINT (-73.975098 40.680829)","POINT (-73.986751 40.701397)","0.66523333333"
"Euclid Av (A,C)","Bowling Green (4,5)","188","414","POINT (-73.872106 40.675377)","POINT (-74.014065 40.704817)","3.60774"
"Lexington Av-53 St (E,M)/51 St (6)","Canal St (A,C,E)","612","169","POINT (-73.970487 40.75733)","POINT (-74.005229 40.720824)","20.25244"
"Baychester Av (5)","Lorimer St (M,J)","443","99","POINT (-73.838591 40.878663)","POINT (-73.947408 40.703869)","0.9051"
"Castle Hill Av (6)","Beach 36 St (A)","365","207","POINT (-73.851222 40.834255)","POINT (-73.768175 40.595398)","0.303"
"135 St (C,B)","96 St (6)","152","396","POINT (-73.947649 40.817894)","POINT (-73.95107 40.785672)","0.5933"
"Flushing Av (G)","Rockaway Av (C)","287","183","POINT (-73.950234 40.700377)","POINT (-73.911946 40.67834)","1.1109"
"Central Av (M)","Canal St (A,C,E)","114","169","POINT (-73.927397 40.697857)","POINT (-74.005229 40.720824)","2.06275"
"Bryant Pk (B,D,F,M)/5 Av (7)","Grand St (B,D)","609","231","POINT (-73.983266 40.754022)","POINT (-73.993753 40.718267)","11.18514"
"169 St (F)","23 St (R,W)","255","14","POINT (-73.793604 40.71047)","POINT (-73.989344 40.741303)","1.43525"
"23 St (6)","Central Park North (110 St) (2,3)","405","441","POINT (-73.986599 40.739864)","POINT (-73.951822 40.799075)","0.634625"
"Hunters Point Av (7)","Wall St (4,5)","463","413","POINT (-73.948916 40.742216)","POINT (-74.011862 40.707557)","1.3295"
"Far Rockaway-Mott Av (A)","Kingsbridge Rd (B,D)","209","212","POINT (-73.755405 40.603995)","POINT (-73.893509 40.866978)","0.3753"
"67 Av (M,R)","Marcy Av (M,J,Z)","262","101","POINT (-73.852719 40.726523)","POINT (-73.957757 40.708359)","0.66733333333"
"61 St-Woodside (7)","145 St (3)","456","437","POINT (-73.902984 40.74563)","POINT (-73.936245 40.820421)","0.5882"
"Jefferson St (L)","Gun Hill Rd (2,5)","126","421","POINT (-73.922913 40.706607)","POINT (-73.866256 40.87785)","0.534"
"Nereid Av (2,5)","Castle Hill Av (6)","417","365","POINT (-73.854376 40.898379)","POINT (-73.851222 40.834255)","0.4189"
"18 Av (D)","Vernon Blvd-Jackson Av (7)","66","464","POINT (-74.001736 40.607954)","POINT (-73.953581 40.742626)","1.5812"
"4 Av (F,G)/9 St (R)","169 St (F)","608","255","POINT (-73.989041 40.670559)","POINT (-73.793604 40.71047)","0.298"
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","36 St (D,N,R)","611","32","POINT (-73.987581 40.755746)","POINT (-74.003549 40.655144)","18.38594"
"Pelham Pkwy (5)","Buhre Av (6)","445","361","POINT (-73.855359 40.858985)","POINT (-73.832569 40.84681)","0.30815"
"Morris Park (5)","Kingsbridge Rd (B,D)","446","212","POINT (-73.860495 40.854364)","POINT (-73.893509 40.866978)","0.3097"
"47-50 Sts-Rockefeller Ctr (B,D,F,M)","Bowery (J,Z)","225","103","POINT (-73.981329 40.758663)","POINT (-73.993915 40.72028)","1.6574"
"Eastchester-Dyre Av (5)","135 St (2,3)","442","438","POINT (-73.830834 40.8883)","POINT (-73.94077 40.814229)","3.844975"
"Grand Central-42 St (S,4,5,6,7)","Grand St (L)","610","123","POINT (-73.977359 40.751992)","POINT (-73.94067 40.711926)","4.7897"
"28 St (R,W)","23 St (R,W)","13","14","POINT (-73.988691 40.745494)","POINT (-73.989344 40.741303)","1.953525"
"Church Av (F,G)","28 St (R,W)","243","13","POINT (-73.979678 40.644041)","POINT (-73.988691 40.745494)","0.59205"
"Dyckman St (A)","53 St (R)","144","34","POINT (-73.927271 40.865491)","POINT (-74.014034 40.645069)","1.0277"
"75 Av (E,F)","Queens Plaza (E,M,R)","260","273","POINT (-73.837324 40.718331)","POINT (-73.937243 40.748973)","3.58952"
"Astoria Blvd (N,W)","Myrtle Av (M,J,Z)","2","97","POINT (-73.917843 40.770258)","POINT (-73.935657 40.697207)","0.5575"
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","Jamaica Center-Parsons/Archer (E,J,Z)","619","278","POINT (-73.995432 40.725606)","POINT (-73.801109 40.702147)","0.67733333333"
"149 St-Grand Concourse (2,4,5)","Bedford Av (L)","603","120","POINT (-73.927034 40.818393)","POINT (-73.956872 40.717304)","1.6921"
"Broadway Junction (A,C,J,L,Z)","Norwood-205 St (D)","621","210","POINT (-73.904356 40.678896)","POINT (-73.878855 40.874811)","0.33035"
"23 St (F,M)","Broadway (N,W)","228","4","POINT (-73.992821 40.742878)","POINT (-73.925508 40.76182)","0.612075"
"Jamaica-Van Wyck (E)","Ozone Park-Lefferts Blvd (A)","280","195","POINT (-73.816859 40.702566)","POINT (-73.825798 40.685951)","0.43286"
"Franklin St (1)","18 St (1)","326","321","POINT (-74.006886 40.719318)","POINT (-73.997871 40.74104)","5.03244"
"238 St (1)","Christopher St-Sheridan Sq (1)","294","323","POINT (-73.90087 40.884667)","POINT (-74.002906 40.733422)","1.18145"
"St Lawrence Av (6)","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","367","617","POINT (-73.867618 40.831509)","POINT (-73.977789 40.684162)","0.93643333333"
"Lafayette Av (C)","Bay Ridge-95 St (R)","176","39","POINT (-73.973946 40.686113)","POINT (-74.030876 40.616622)","0.2783"
"Grant Av (A)","Clinton-Washington Avs (G)","189","291","POINT (-73.86505 40.677044)","POINT (-73.966839 40.688089)","2.3201"
