"Origin Station Complex Name","Destination Station Complex Name","Origin Station Complex ID","Destination Station Complex ID","Origin Point","Destination Point","avg_estimated_average_ridership"
"Parsons Blvd (F)","Canarsie-Rockaway Pkwy (L)","256","138","POINT (-73.803326 40.707564)","POINT (-73.90185 40.646654)","0.6146"
"103 St-Corona Plaza (7)","34 St-Herald Sq (B,D,F,M,N,Q,R,W)","450","607","POINT (-73.8627 40.749865)","POINT (-73.987887 40.749643)","37.46284"
"Fordham Rd (B,D)","Briarwood (E,F)","213","258","POINT (-73.897749 40.861296)","POINT (-73.820574 40.709179)","1.4147"
"104 St (A)","Shepherd Av (C)","193","187","POINT (-73.837683 40.681711)","POINT (-73.88075 40.67413)","0.44515"
"Norwood-205 St (D)","145 St (A,C,B,D)","210","151","POINT (-73.878855 40.874811)","POINT (-73.944216 40.824783)","16.56108"
"18 Av (N)","Avenue N (F)","74","248","POINT (-73.990414 40.620671)","POINT (-73.974197 40.61514)","0.3047"
"Franklin Av (2,3,4,5)/Botanic Garden (S)","Van Cortlandt Park-242 St (1)","626","293","POINT (-73.958688 40.670513)","POINT (-73.898583 40.889248)","0.57266666667"
"Myrtle-Wyckoff Avs (L,M)","Avenue I (F)","630","246","POINT (-73.911986 40.699622)","POINT (-73.976127 40.625322)","0.967675"
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","167 St (B,D)","619","218","POINT (-73.995432 40.725606)","POINT (-73.91844 40.833771)","0.44465"
"8 Av (N)","Cypress Av (6)","71","375","POINT (-74.011719 40.635064)","POINT (-73.914042 40.805368)","0.3049"
"18 Av (D)","157 St (1)","66","303","POINT (-74.001736 40.607954)","POINT (-73.94489 40.834041)","0.6034"
"111 St (J)","Grand St (L)","81","123","POINT (-73.836345 40.697418)","POINT (-73.94067 40.711926)","0.60435"
"103 St (C,B)","Lafayette Av (C)","156","176","POINT (-73.961454 40.796092)","POINT (-73.973946 40.686113)","0.2925"
"Grand Central-42 St (S,4,5,6,7)","W 4 St-Wash Sq (A,C,E,B,D,F,M)","610","167","POINT (-73.977359 40.751992)","POINT (-74.000495 40.732338)","31.88936"
"Grand Central-42 St (S,4,5,6,7)","68 St-Hunter College (6)","610","399","POINT (-73.977359 40.751992)","POINT (-73.96387 40.768141)","210.02534"
"168 St (A,C,1)","103 St (1)","605","309","POINT (-73.939847 40.840638)","POINT (-73.968379 40.799446)","5.64432"
"Forest Hills-71 Av (E,F,M,R)","Hoyt-Schermerhorn Sts (A,C,G)","261","175","POINT (-73.844521 40.721691)","POINT (-73.985001 40.688484)","1.81914"
"238 St (1)","Intervale Av (2,5)","294","431","POINT (-73.90087 40.884667)","POINT (-73.896736 40.822181)","0.5932"
"Central Park North (110 St) (2,3)","5 Av/59 St (N,R,W)","441","8","POINT (-73.951822 40.799075)","POINT (-73.973347 40.764811)","0.358"
"50 St (C,E)","190 St (A)","162","145","POINT (-73.985984 40.762456)","POINT (-73.93418 40.859022)","0.53575"
"Bedford Av (L)","Saratoga Av (3)","120","347","POINT (-73.956872 40.717304)","POINT (-73.916327 40.661453)","0.278"
"Kingsbridge Rd (B,D)","Simpson St (2,5)","212","430","POINT (-73.893509 40.866978)","POINT (-73.893064 40.824073)","0.286"
"Beach 90 St (A,S)","125 St (2,3)","200","439","POINT (-73.813641 40.588034)","POINT (-73.945495 40.807754)","0.3108"
"WTC Cortlandt (1)","Flushing Av (M,J)","328","98","POINT (-74.012188 40.711835)","POINT (-73.941126 40.70026)","0.2918"
"Intervale Av (2,5)","Greenpoint Av (G)","431","283","POINT (-73.896736 40.822181)","POINT (-73.954449 40.731352)","0.3282"
"Nostrand Av (A,C)","116 St-Columbia University (1)","179","307","POINT (-73.950426 40.680438)","POINT (-73.96411 40.807722)","3.54202"
"167 St (B,D)","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","218","619","POINT (-73.91844 40.833771)","POINT (-73.995432 40.725606)","5.20554"
"Court St (R)/Borough Hall (2,3,4,5)","Vernon Blvd-Jackson Av (7)","620","464","POINT (-73.990642 40.693241)","POINT (-73.953581 40.742626)","0.6915"
"Bedford Park Blvd (B,D)","72 St (Q)","211","477","POINT (-73.887138 40.873244)","POINT (-73.958424 40.768799)","0.91153333333"
"Grant Av (A)","170 St (B,D)","189","217","POINT (-73.86505 40.677044)","POINT (-73.9134 40.839306)","0.31455"
"96 St (6)","Morrison Av-Soundview (6)","396","368","POINT (-73.95107 40.785672)","POINT (-73.874516 40.829521)","2.30314"
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","96 St (Q)","279","475","POINT (-73.807969 40.700486)","POINT (-73.947152 40.784318)","7.25974"
"219 St (2,5)","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","420","616","POINT (-73.862633 40.883895)","POINT (-73.891366 40.746746)","0.3296"
"Mosholu Pkwy (4)","72 St (1,2,3)","379","313","POINT (-73.884655 40.87975)","POINT (-73.98197 40.778453)","1.85222"
"163 St-Amsterdam Av (C)","Jamaica Center-Parsons/Archer (E,J,Z)","149","278","POINT (-73.939892 40.836013)","POINT (-73.801109 40.702147)","0.58425"
"E 143 St-St Mary's St (6)","Woodlawn (4)","374","378","POINT (-73.907657 40.808719)","POINT (-73.878751 40.886037)","0.2962"
"Prospect Park (B,Q,S)","39 Av-Dutch Kills (N,W)","42","6","POINT (-73.962246 40.661614)","POINT (-73.932755 40.752882)","0.4515"
"Neck Rd (Q)","47-50 Sts-Rockefeller Ctr (B,D,F,M)","53","225","POINT (-73.955161 40.595246)","POINT (-73.981329 40.758663)","12.804"
"Fort Hamilton Pkwy (D)","68 St-Hunter College (6)","60","399","POINT (-73.994304 40.640914)","POINT (-73.96387 40.768141)","2.3174"
